%Xsec        Xsec_StatErr          Sys_TrgEff             Sys_PID         Sys_TrgBias           Sys_Total
7.10334e+09             48659.9           0.0573113           0.0981304           0.0217904            0.115711
8.71813e+09             53907.7            0.204273           0.0987732            0.020958            0.227866
7.59875e+09             50328.1            0.120756            0.098514           0.0230904            0.157544
2.75747e+09             30317.6            0.119096           0.0984574           0.0138005            0.155139
7.40509e+08               15711            0.139381           0.0984906          0.00169444            0.170676
1.41126e+08             6858.72            0.125402           0.0984079          0.00280884            0.159429
3.77774e+07             3548.59            0.125312           0.0983104          0.00213932            0.159288
8.4353e+06             1676.83           0.0998698           0.0981521          0.00525629            0.140127
1.3966e+06             682.301           0.0866715           0.0984625           0.0149015            0.132018
359442             346.141           0.0359827           0.0979616           0.0155368            0.105511
76575.7             159.766           0.0257859           0.0978883           0.0102302            0.101743
7387.86             49.6248            0.123481           0.0974238          0.00550931            0.157383
616.115             14.3308            0.251167            0.098474            0.033424            0.271844
